"Key","Example","Source","Context","Game Locations","es","es translator type","pt","pt translator type","ja","ja translator type","ko","ko translator type","fr","fr translator type","de","de translator type","id","id translator type"
"badge.founding.desc","","Worked the line during the launch window.","Badge description","","Estuvo en la cocina durante el lanzamiento.","User","Trabalhou na linha durante o lançamento.","User","ローンチ期間に厨房に立った。","User","출시 기간에 주방을 지켰습니다.","User","A tenu le poste pendant le lancement.","User","War beim Start am Herd.","User","Bertugas saat masa peluncuran.","User"
"item.hat_paper","","Paper Hat","Cosmetic hat","","Gorro de Papel","User","Chapéu de Papel","User","紙の帽子","User","종이 모자","User","Toque en papier","User","Papierhut","User","Topi Kertas","User"
"item.hat_toque","","Classic Toque","Cosmetic hat: the classic chef's hat","","Gorro Clásico","User","Toque Clássico","User","クラシックコック帽","User","클래식 셰프 모자","User","Toque classique","User","Klassische Kochmütze","User","Toque Klasik","User"
"item.hat_bandana_red","","Red Bandana","Cosmetic hat","","Pañuelo Rojo","User","Bandana Vermelha","User","赤いバンダナ","User","빨간 반다나","User","Bandana rouge","User","Rotes Bandana","User","Bandana Merah","User"
"item.hat_bandana_green","","Green Bandana","Cosmetic hat","","Pañuelo Verde","User","Bandana Verde","User","緑のバンダナ","User","초록 반다나","User","Bandana vert","User","Grünes Bandana","User","Bandana Hijau","User"
"item.hat_beret","","Beret","Cosmetic hat","","Boina","User","Boina","User","ベレー帽","User","베레모","User","Béret","User","Baskenmütze","User","Baret","User"
"item.hat_mushroom","","Mushroom Cap","Cosmetic hat shaped like a mushroom","","Sombrero Champiñón","User","Chapéu Cogumelo","User","きのこ帽","User","버섯 모자","User","Chapeau champignon","User","Pilzhut","User","Topi Jamur","User"
"item.hat_paperboat","","Paper Boat","Cosmetic hat: folded paper boat","","Barquito de Papel","User","Barquinho de Papel","User","紙の船","User","종이배","User","Bateau en papier","User","Papierschiffchen","User","Perahu Kertas","User"
"item.hat_panlid","","Pan Lid Cap","Cosmetic hat: a saucepan lid","","Tapa de Cazuela","User","Tampa de Panela","User","鍋ぶた帽","User","냄비 뚜껑 모자","User","Couvercle de casserole","User","Topfdeckel-Mütze","User","Tutup Panci","User"
"item.hat_colander","","Colander Helm","Cosmetic hat: a colander worn as a helmet","","Casco Colador","User","Elmo de Escorredor","User","ざるヘルム","User","체 투구","User","Casque passoire","User","Sieb-Helm","User","Helm Saringan","User"
"item.hat_butter_crown","","Butter Crown","Cosmetic hat","","Corona de Mantequilla","User","Coroa de Manteiga","User","バタークラウン","User","버터 왕관","User","Couronne de beurre","User","Butterkrone","User","Mahkota Mentega","User"
"item.hat_top","","Top Hat","Cosmetic hat","","Chistera","User","Cartola","User","シルクハット","User","실크햇","User","Haut-de-forme","User","Zylinder","User","Topi Tinggi","User"
"item.hat_halo","","Sous-Chef Halo","Cosmetic hat: a glowing halo","","Aureola de Sous-Chef","User","Auréola de Sous-Chef","User","スーシェフの光輪","User","수셰프 후광","User","Auréole de sous-chef","User","Sous-Chef-Heiligenschein","User","Lingkaran Sous-Chef","User"
"emote.sizzle","","Sizzle!","Emote, matches the game's name","","¡Chsss!","User","Chiando!","User","ジュージュー！","User","치이익!","User","Ça grésille !","User","Zisch!","User","Sizzle!","User"
"emote.boom","","Boom!","Emote","","¡Bum!","User","Bum!","User","ドーン！","User","쾅!","User","Boum !","User","Bumm!","User","Boom!","User"
"emote.cheer","","Cheer","Emote: celebrate","","Ánimo","User","Comemorar","User","歓声","User","환호","User","Bravo","User","Jubel","User","Sorak","User"
"emote.facepalm","","Facepalm","Emote: exasperation","","Facepalm","User","Facepalm","User","がっくり","User","이마 짚기","User","Facepalm","User","Facepalm","User","Tepuk Jidat","User"
"emote.chefs_kiss","","Chef's Kiss","Emote: perfection","","Beso de Chef","User","Beijo de Chef","User","シェフのキス","User","셰프의 키스","User","Baiser du chef","User","Chef's Kiss","User","Ciuman Koki","User"
"emote.on_fire","","On Fire!","Emote: on a hot streak","","¡En Racha!","User","Pegando Fogo!","User","絶好調！","User","불붙었어!","User","En feu !","User","In Flammen!","User","Lagi Panas!","User"
"emote.zzz","","Zzz","Emote: bored or idle","","Zzz","User","Zzz","User","Zzz","User","Zzz","User","Zzz","User","Zzz","User","Zzz","User"
"item.plates_blue","","Blue China","Cosmetic: plate set","","Porcelana Azul","User","Porcelana Azul","User","青い磁器","User","블루 차이나","User","Porcelaine bleue","User","Blaues Porzellan","User","Porselen Biru","User"
"item.plates_gilded","","Gilded Plates","Cosmetic: plate set","","Platos Dorados","User","Pratos Dourados","User","金彩の皿","User","금테 접시","User","Assiettes dorées","User","Vergoldete Teller","User","Piring Berlapis Emas","User"
"item.plates_supporter","","Supporter Plates","Cosmetic: plate set from the pass","","Platos de Mecenas","User","Pratos do Apoiador","User","サポータープレート","User","서포터 접시","User","Assiettes du soutien","User","Unterstützer-Teller","User","Piring Pendukung","User"
"item.pan_copper","","Copper Pans","Cosmetic: pan set","","Sartenes de Cobre","User","Frigideiras de Cobre","User","銅のフライパン","User","구리 팬","User","Poêles en cuivre","User","Kupferpfannen","User","Wajan Tembaga","User"
"item.pan_obsidian","","Obsidian Pans","Cosmetic: pan set","","Sartenes de Obsidiana","User","Frigideiras de Obsidiana","User","黒曜石のフライパン","User","흑요석 팬","User","Poêles obsidienne","User","Obsidianpfannen","User","Wajan Obsidian","User"
"item.bell_deep","","Deep Serve Bell","Cosmetic: the bell rung when serving","","Campana Grave","User","Sino Grave","User","低音のベル","User","낮은음 벨","User","Cloche grave","User","Tiefe Serviceglocke","User","Bel Saji Berat","User"
"item.bell_chime","","Chime Serve Bell","Cosmetic: the bell rung when serving","","Campana Aguda","User","Sino Agudo","User","チャイムベル","User","차임 벨","User","Carillon de service","User","Helle Serviceglocke","User","Bel Saji Nyaring","User"
"pass.supporter","","Supporter Pass","Game pass name","","Pase de Mecenas","User","Passe de Apoiador","User","サポーターパス","User","서포터 패스","User","Pass Soutien","User","Unterstützer-Pass","User","Paket Pendukung","User"
"pass.supporter.desc","","+10% XP and coins forever, four Gilded coats, the Sizzle! emote, Supporter Plates, and a star on your nametag.","Game pass description","","+10 % de XP y monedas para siempre, cuatro trajes dorados, la emote ¡Chsss!, Platos de Mecenas y una estrella en tu nombre.","User","+10% de XP e moedas para sempre, quatro trajes dourados, a emote Chiando!, Pratos do Apoiador e uma estrela no nome.","User","XP・コイン永久+10%、金の衣装4種、ジュージュー！エモート、サポータープレート、名札に星。","User","XP·코인 영구 +10%, 금빛 의상 4종, 치이익! 이모트, 서포터 접시, 이름표에 별.","User","+10 % d'XP et de pièces à vie, quatre tenues dorées, l'emote Ça grésille !, les assiettes du soutien et une étoile sur votre pseudo.","User","Dauerhaft +10 % XP und Münzen, vier vergoldete Outfits, die Zisch!-Emote, Unterstützer-Teller und ein Stern am Namensschild.","User","+10% XP dan koin selamanya, empat jubah emas, emote Sizzle!, Piring Pendukung, dan bintang di namamu.","User"
"pass.trunk","","Chef's Trunk","Game pass name","","Baúl del Chef","User","Baú do Chef","User","シェフのトランク","User","셰프의 트렁크","User","Malle du chef","User","Chefkoch-Truhe","User","Koper Koki","User"
"pass.trunk.desc","","Four Midnight coats, the Boom! emote and Obsidian Pans.","Game pass description","","Cuatro trajes Medianoche, la emote ¡Bum! y Sartenes de Obsidiana.","User","Quatro trajes Meia-Noite, a emote Bum! e Frigideiras de Obsidiana.","User","ミッドナイト衣装4種、ドーン！エモート、黒曜石のフライパン。","User","미드나이트 의상 4종, 쾅! 이모트, 흑요석 팬.","User","Quatre tenues Minuit, l'emote Boum ! et les poêles obsidienne.","User","Vier Mitternachts-Outfits, die Bumm!-Emote und Obsidianpfannen.","User","Empat jubah Tengah Malam, emote Boom!, dan Wajan Obsidian.","User"
"pal.bramble_panda","","Panda Bramble","Coat colour for the bear chef Bramble","","Bramble Panda","User","Bramble Panda","User","パンダのブランブル","User","판다 브램블","User","Bramble panda","User","Panda-Bramble","User","Bramble Panda","User"
"pal.bramble_polar","","Polar Bramble","Coat colour","","Bramble Polar","User","Bramble Polar","User","ポーラーブランブル","User","폴라 브램블","User","Bramble polaire","User","Polar-Bramble","User","Bramble Kutub","User"
"pal.bramble_gilded","","Gilded Bramble","Coat colour (pass item)","","Bramble Dorado","User","Bramble Dourado","User","ゴールドのブランブル","User","골드 브램블","User","Bramble doré","User","Vergoldeter Bramble","User","Bramble Emas","User"
"pal.bramble_midnight","","Midnight Bramble","Coat colour (pass item)","","Bramble Medianoche","User","Bramble Meia-Noite","User","ミッドナイトのブランブル","User","미드나이트 브램블","User","Bramble minuit","User","Mitternachts-Bramble","User","Bramble Tengah Malam","User"
