"Key","Example","Source","Context","Game Locations","es","es translator type","pt","pt translator type","ja","ja translator type","ko","ko translator type","fr","fr translator type","de","de translator type","id","id translator type"
"ui.todays_goals","","TODAY'S GOALS","Section heading for daily challenges","","OBJETIVOS DE HOY","User","METAS DE HOJE","User","今日の目標","User","오늘의 목표","User","OBJECTIFS DU JOUR","User","TAGESZIELE","User","TARGET HARI INI","User"
"ui.welcome_back","","Welcome back, chef","Greeting on the join card","","Bienvenido de nuevo, chef","User","Bem-vindo de volta, chef","User","おかえりなさい、シェフ","User","돌아오셨군요, 셰프","User","Bon retour, chef","User","Willkommen zurück, Chef","User","Selamat datang kembali, koki","User"
"ui.shift_over","","SHIFT OVER","Round has ended","","TURNO TERMINADO","User","FIM DO TURNO","User","シフト終了","User","근무 종료","User","SERVICE TERMINÉ","User","SCHICHT VORBEI","User","SHIFT SELESAI","User"
"ui.loading_ranks","","Loading rankings…","Leaderboard is still fetching","","Cargando clasificación…","User","Carregando ranking…","User","ランキング読み込み中…","User","순위 불러오는 중…","User","Chargement du classement…","User","Rangliste wird geladen…","User","Memuat peringkat…","User"
"ui.no_ranks","","No rankings yet — cook something!","Leaderboard is genuinely empty","","Aún no hay clasificación: ¡a cocinar!","User","Ainda sem ranking — cozinhe algo!","User","まだランキングがありません — 何か作ろう！","User","아직 순위가 없어요 — 요리해 보세요!","User","Pas encore de classement — à vos fourneaux !","User","Noch keine Rangliste — koch was!","User","Belum ada peringkat — masak dulu!","User"
"ui.no_friends","","None right now — invite someone below.","No friends currently playing","","Nadie ahora mismo: invita a alguien.","User","Ninguém agora — convide alguém abaixo.","User","今は誰もいません — 下から招待しよう。","User","지금은 없어요 — 아래에서 초대하세요.","User","Personne pour l'instant — invitez quelqu'un.","User","Gerade niemand — lade jemanden ein.","User","Belum ada — undang teman di bawah.","User"
"ui.nothing_here","","Nothing here yet.","Empty list placeholder","","Aquí no hay nada todavía.","User","Nada aqui ainda.","User","まだ何もありません。","User","아직 아무것도 없어요.","User","Rien ici pour l'instant.","User","Noch nichts hier.","User","Belum ada apa-apa.","User"
"ui.spectating","","You're up next round — watch the kitchen!","Joined mid-round, waiting for a seat","","Entras en la próxima ronda: ¡observa la cocina!","User","Você entra na próxima — observe a cozinha!","User","次のシフトであなたの番です — 厨房を見ていて！","User","다음 라운드에 참여합니다 — 주방을 지켜보세요!","User","À vous au prochain service — observez la cuisine !","User","Nächste Schicht bist du dran — schau zu!","User","Giliranmu ronde berikutnya — perhatikan dapurnya!","User"
"ui.preview_unavailable","","Preview unavailable — chef rigs not loaded.","Wardrobe could not build the 3D preview","","Vista previa no disponible: modelos no cargados.","User","Prévia indisponível — modelos não carregados.","User","プレビュー利用不可 — モデル未読み込み。","User","미리보기 불가 — 모델을 불러오지 못했습니다.","User","Aperçu indisponible — modèles non chargés.","User","Vorschau nicht verfügbar — Modelle fehlen.","User","Pratinjau tidak tersedia — model belum dimuat.","User"
"ui.no_passes","","No passes are set up yet.","Shop premium tab with no game passes configured","","Aún no hay pases disponibles.","User","Nenhum passe disponível ainda.","User","パスはまだありません。","User","아직 이용권이 없습니다.","User","Aucun pass disponible pour l'instant.","User","Noch keine Pässe eingerichtet.","User","Belum ada pass yang tersedia.","User"
"coach.one_button","","One button does everything: walk to a glowing station and press it.","Tutorial: the only control","","Un botón lo hace todo: acércate a la estación que brilla y pulsa.","User","Um botão faz tudo: vá até a estação brilhante e aperte.","User","ボタン1つで全部：光った台に近づいて押すだけ。","User","버튼 하나면 됩니다: 빛나는 조리대로 가서 누르세요.","User","Un seul bouton suffit : approchez un poste qui brille et appuyez.","User","Ein Knopf für alles: Geh zu einer leuchtenden Station und drück.","User","Satu tombol untuk semua: dekati stasiun yang menyala lalu tekan.","User"
"coach.start_plate","","Start with a plate: take one from the stack and set it on a counter.","Tutorial: first action","","Empieza con un plato: coge uno de la pila y ponlo en la encimera.","User","Comece com um prato: pegue um da pilha e ponha no balcão.","User","まずはお皿：積み重ねから1枚取って台に置こう。","User","접시부터: 쌓인 접시를 하나 집어 조리대에 올리세요.","User","Commencez par une assiette : prenez-en une et posez-la sur un plan de travail.","User","Fang mit einem Teller an: nimm einen vom Stapel und stell ihn auf die Theke.","User","Mulai dengan piring: ambil satu dari tumpukan dan taruh di meja.","User"
"coach.chop","","Press at the glowing board to chop it.","Tutorial: chopping","","Pulsa en la tabla que brilla para cortar.","User","Aperte na tábua brilhante para cortar.","User","光ったまな板で押して切ろう。","User","빛나는 도마에서 눌러 썰으세요.","User","Appuyez sur la planche qui brille pour couper.","User","Am leuchtenden Brett drücken zum Schneiden.","User","Tekan di talenan yang menyala untuk memotong.","User"
"coach.take_to_station","","Take it to the glowing station and press.","Tutorial: carry it somewhere","","Llévalo a la estación que brilla y pulsa.","User","Leve até a estação brilhante e aperte.","User","光った台まで運んで押そう。","User","빛나는 조리대로 가져가 누르세요.","User","Apportez-le au poste qui brille et appuyez.","User","Bring es zur leuchtenden Station und drück.","User","Bawa ke stasiun yang menyala lalu tekan.","User"
"coach.ready_plate","","That's ready — put it on your plate.","Tutorial: ingredient is prepped","","Ya está: ponlo en tu plato.","User","Pronto — ponha no seu prato.","User","できあがり — お皿にのせよう。","User","다 됐어요 — 접시에 올리세요.","User","C'est prêt — mettez-le dans l'assiette.","User","Fertig — leg es auf den Teller.","User","Sudah siap — taruh di piringmu.","User"
"coach.pan_scoop","","Food's ready — press at the glowing pan to scoop it onto your plate.","Tutorial: plate-scoop from the pan","","Ya está hecho: pulsa en la sartén que brilla para pasarlo al plato.","User","Ficou pronto — aperte na frigideira brilhante para pôr no prato.","User","できた — 光ったフライパンで押してお皿へ。","User","다 익었어요 — 빛나는 팬에서 눌러 접시에 담으세요.","User","C'est cuit — appuyez sur la poêle qui brille pour servir dans l'assiette.","User","Essen fertig — an der leuchtenden Pfanne drücken, um es auf den Teller zu geben.","User","Masakan siap — tekan di wajan yang menyala untuk memindahkan ke piring.","User"
"coach.pan_take","","Food's ready! Press at the glowing pan to take it.","Tutorial: take cooked food bare-handed","","¡Ya está! Pulsa en la sartén que brilla para cogerlo.","User","Ficou pronto! Aperte na frigideira brilhante para pegar.","User","できた！光ったフライパンで押して取ろう。","User","다 익었어요! 빛나는 팬에서 눌러 집으세요.","User","C'est cuit ! Appuyez sur la poêle qui brille pour le prendre.","User","Essen fertig! An der leuchtenden Pfanne drücken zum Nehmen.","User","Masakan siap! Tekan di wajan yang menyala untuk mengambilnya.","User"
"coach.cooking","","It's cooking — give it a few seconds.","Tutorial: wait for the pan","","Se está cocinando: espera unos segundos.","User","Está cozinhando — espere alguns segundos.","User","調理中 — 数秒待とう。","User","익는 중이에요 — 몇 초만 기다리세요.","User","Ça cuit — patientez quelques secondes.","User","Es kocht — gib ihm ein paar Sekunden.","User","Sedang dimasak — tunggu beberapa detik.","User"
"coach.set_plate_down","","Set the plate down on a free counter — that's where the dish gets built.","Tutorial: park the plate","","Deja el plato en una encimera libre: ahí se monta el plato.","User","Ponha o prato num balcão livre — é ali que o prato é montado.","User","空いた台にお皿を置こう — そこで料理を組み立てる。","User","빈 조리대에 접시를 놓으세요 — 거기서 요리를 완성합니다.","User","Posez l'assiette sur un plan libre — c'est là qu'on monte le plat.","User","Stell den Teller auf eine freie Theke — dort wird das Gericht gebaut.","User","Taruh piring di meja kosong — di situ hidangan disusun.","User"
"coach.serve","","Plate in hand. Take it to the serve window when the ticket is complete.","Tutorial: deliver","","Plato en mano. Llévalo a la ventanilla cuando el pedido esté completo.","User","Prato na mão. Leve à janela de entrega quando o pedido estiver completo.","User","お皿を持った。注文が揃ったら受け渡し口へ。","User","접시를 들었어요. 주문이 완성되면 서빙 창구로.","User","Assiette en main. Apportez-la au passe quand la commande est complète.","User","Teller in der Hand. Bring ihn zur Ausgabe, wenn die Bestellung komplett ist.","User","Piring di tangan. Bawa ke jendela saji saat pesanan lengkap.","User"
"coach.working","","Working! Stay put — or press again to stop.","Tutorial: mid-task","","¡Trabajando! Quédate ahí o pulsa otra vez para parar.","User","Trabalhando! Fique aí — ou aperte de novo para parar.","User","作業中！そのまま — もう一度押すと中断。","User","작업 중! 그대로 계세요 — 다시 누르면 중단.","User","En cours ! Restez là — ou appuyez à nouveau pour arrêter.","User","Läuft! Bleib stehen — oder nochmal drücken zum Abbrechen.","User","Sedang bekerja! Tetap di situ — atau tekan lagi untuk berhenti.","User"
"coach.dirty_plate","","That plate's dirty — take it to the sink and press to wash it.","Tutorial: washing up","","Ese plato está sucio: llévalo al fregadero y pulsa para lavarlo.","User","Esse prato está sujo — leve à pia e aperte para lavar.","User","そのお皿は汚れている — シンクで押して洗おう。","User","접시가 더러워요 — 싱크대로 가서 눌러 씻으세요.","User","Cette assiette est sale — allez à l'évier et appuyez pour la laver.","User","Der Teller ist schmutzig — ab zur Spüle und drücken zum Spülen.","User","Piring itu kotor — bawa ke wastafel dan tekan untuk mencuci.","User"
"coach.out_of_plates","","Out of clean plates! Wash up at the sink to get more.","Tutorial: plate economy","","¡No quedan platos limpios! Lava en el fregadero para tener más.","User","Acabaram os pratos limpos! Lave na pia para ter mais.","User","きれいなお皿がない！シンクで洗って補充しよう。","User","깨끗한 접시가 없어요! 싱크대에서 설거지하세요.","User","Plus d'assiettes propres ! Lavez à l'évier pour en avoir.","User","Keine sauberen Teller! Spül welche in der Spüle.","User","Piring bersih habis! Cuci di wastafel untuk menambah.","User"
"recipe.salad","","Garden Salad","Recipe name on an order ticket","","Ensalada de la Huerta","User","Salada da Horta","User","ガーデンサラダ","User","가든 샐러드","User","Salade du jardin","User","Gartensalat","User","Salad Kebun","User"
"recipe.chopped","","Chopped Salad","Recipe name","","Ensalada Picada","User","Salada Picada","User","チョップドサラダ","User","찹 샐러드","User","Salade composée","User","Bunter Salat","User","Salad Cincang","User"
"recipe.baconroll","","Bacon Roll","Recipe name","","Bocadillo de Bacon","User","Pão com Bacon","User","ベーコンロール","User","베이컨 롤","User","Sandwich au bacon","User","Bacon-Brötchen","User","Roti Isi Bacon","User"
"recipe.blt","Keep the acronym; it is understood as a sandwich name.","BLT","Recipe name (bacon, lettuce, tomato)","","BLT","User","BLT","User","BLT","User","BLT","User","BLT","User","BLT","User","BLT","User"
"recipe.deluxe","","Deluxe Stack","Recipe name","","Torre Deluxe","User","Torre Deluxe","User","デラックススタック","User","디럭스 스택","User","Le Double Deluxe","User","Deluxe-Turm","User","Tumpuk Deluxe","User"
