"Key","Example","Source","Context","Game Locations","es","es translator type","pt","pt translator type","ja","ja translator type","ko","ko translator type","fr","fr translator type","de","de translator type","id","id translator type"
"ui.todays_goals","","TODAY'S GOALS","Section heading for daily challenges","","OBJETIVOS DE HOY","User","METAS DE HOJE","User","今日の目標","User","오늘의 목표","User","OBJECTIFS DU JOUR","User","TAGESZIELE","User","TARGET HARI INI","User"
"ui.welcome_back","","Welcome back, chef","Greeting on the join card","","Bienvenido de nuevo, chef","User","Bem-vindo de volta, chef","User","おかえりなさい、シェフ","User","돌아오셨군요, 셰프","User","Bon retour, chef","User","Willkommen zurück, Chef","User","Selamat datang kembali, koki","User"
"ui.shift_over","","SHIFT OVER","Round has ended","","TURNO TERMINADO","User","FIM DO TURNO","User","シフト終了","User","근무 종료","User","SERVICE TERMINÉ","User","SCHICHT VORBEI","User","SHIFT SELESAI","User"
"ui.loading_ranks","","Loading rankings…","Leaderboard is still fetching","","Cargando clasificación…","User","Carregando ranking…","User","ランキング読み込み中…","User","순위 불러오는 중…","User","Chargement du classement…","User","Rangliste wird geladen…","User","Memuat peringkat…","User"
"ui.no_ranks","","No rankings yet — cook something!","Leaderboard is genuinely empty","","Aún no hay clasificación: ¡a cocinar!","User","Ainda sem ranking — cozinhe algo!","User","まだランキングがありません — 何か作ろう！","User","아직 순위가 없어요 — 요리해 보세요!","User","Pas encore de classement — à vos fourneaux !","User","Noch keine Rangliste — koch was!","User","Belum ada peringkat — masak dulu!","User"
"ui.no_friends","","None right now — invite someone below.","No friends currently playing","","Nadie ahora mismo: invita a alguien.","User","Ninguém agora — convide alguém abaixo.","User","今は誰もいません — 下から招待しよう。","User","지금은 없어요 — 아래에서 초대하세요.","User","Personne pour l'instant — invitez quelqu'un.","User","Gerade niemand — lade jemanden ein.","User","Belum ada — undang teman di bawah.","User"
"ui.nothing_here","","Nothing here yet.","Empty list placeholder","","Aquí no hay nada todavía.","User","Nada aqui ainda.","User","まだ何もありません。","User","아직 아무것도 없어요.","User","Rien ici pour l'instant.","User","Noch nichts hier.","User","Belum ada apa-apa.","User"
"ui.spectating","","You're up next round — watch the kitchen!","Joined mid-round, waiting for a seat","","Entras en la próxima ronda: ¡observa la cocina!","User","Você entra na próxima — observe a cozinha!","User","次のシフトであなたの番です — 厨房を見ていて！","User","다음 라운드에 참여합니다 — 주방을 지켜보세요!","User","À vous au prochain service — observez la cuisine !","User","Nächste Schicht bist du dran — schau zu!","User","Giliranmu ronde berikutnya — perhatikan dapurnya!","User"
"ui.preview_unavailable","","Preview unavailable — chef rigs not loaded.","Wardrobe could not build the 3D preview","","Vista previa no disponible: modelos no cargados.","User","Prévia indisponível — modelos não carregados.","User","プレビュー利用不可 — モデル未読み込み。","User","미리보기 불가 — 모델을 불러오지 못했습니다.","User","Aperçu indisponible — modèles non chargés.","User","Vorschau nicht verfügbar — Modelle fehlen.","User","Pratinjau tidak tersedia — model belum dimuat.","User"
"ui.no_passes","","No passes are set up yet.","Shop premium tab with no game passes configured","","Aún no hay pases disponibles.","User","Nenhum passe disponível ainda.","User","パスはまだありません。","User","아직 이용권이 없습니다.","User","Aucun pass disponible pour l'instant.","User","Noch keine Pässe eingerichtet.","User","Belum ada pass yang tersedia.","User"
"coach.one_button","","One button does everything: walk to a glowing station and press it.","Tutorial: the only control","","Un botón lo hace todo: acércate a la estación que brilla y pulsa.","User","Um botão faz tudo: vá até a estação brilhante e aperte.","User","ボタン1つで全部：光った台に近づいて押すだけ。","User","버튼 하나면 됩니다: 빛나는 조리대로 가서 누르세요.","User","Un seul bouton suffit : approchez un poste qui brille et appuyez.","User","Ein Knopf für alles: Geh zu einer leuchtenden Station und drück.","User","Satu tombol untuk semua: dekati stasiun yang menyala lalu tekan.","User"
"coach.start_plate","","Start with a plate: take one from the stack and set it on a counter.","Tutorial: first action","","Empieza con un plato: coge uno de la pila y ponlo en la encimera.","User","Comece com um prato: pegue um da pilha e ponha no balcão.","User","まずはお皿：積み重ねから1枚取って台に置こう。","User","접시부터: 쌓인 접시를 하나 집어 조리대에 올리세요.","User","Commencez par une assiette : prenez-en une et posez-la sur un plan de travail.","User","Fang mit einem Teller an: nimm einen vom Stapel und stell ihn auf die Theke.","User","Mulai dengan piring: ambil satu dari tumpukan dan taruh di meja.","User"
"coach.chop","","Press at the glowing board to chop it.","Tutorial: chopping","","Pulsa en la tabla que brilla para cortar.","User","Aperte na tábua brilhante para cortar.","User","光ったまな板で押して切ろう。","User","빛나는 도마에서 눌러 썰으세요.","User","Appuyez sur la planche qui brille pour couper.","User","Am leuchtenden Brett drücken zum Schneiden.","User","Tekan di talenan yang menyala untuk memotong.","User"
"coach.take_to_station","","Take it to the glowing station and press.","Tutorial: carry it somewhere","","Llévalo a la estación que brilla y pulsa.","User","Leve até a estação brilhante e aperte.","User","光った台まで運んで押そう。","User","빛나는 조리대로 가져가 누르세요.","User","Apportez-le au poste qui brille et appuyez.","User","Bring es zur leuchtenden Station und drück.","User","Bawa ke stasiun yang menyala lalu tekan.","User"
"coach.ready_plate","","That's ready — put it on your plate.","Tutorial: ingredient is prepped","","Ya está: ponlo en tu plato.","User","Pronto — ponha no seu prato.","User","できあがり — お皿にのせよう。","User","다 됐어요 — 접시에 올리세요.","User","C'est prêt — mettez-le dans l'assiette.","User","Fertig — leg es auf den Teller.","User","Sudah siap — taruh di piringmu.","User"
"coach.pan_scoop","","Food's ready — press at the glowing pan to scoop it onto your plate.","Tutorial: plate-scoop from the pan","","Ya está hecho: pulsa en la sartén que brilla para pasarlo al plato.","User","Ficou pronto — aperte na frigideira brilhante para pôr no prato.","User","できた — 光ったフライパンで押してお皿へ。","User","다 익었어요 — 빛나는 팬에서 눌러 접시에 담으세요.","User","C'est cuit — appuyez sur la poêle qui brille pour servir dans l'assiette.","User","Essen fertig — an der leuchtenden Pfanne drücken, um es auf den Teller zu geben.","User","Masakan siap — tekan di wajan yang menyala untuk memindahkan ke piring.","User"
"coach.pan_take","","Food's ready! Press at the glowing pan to take it.","Tutorial: take cooked food bare-handed","","¡Ya está! Pulsa en la sartén que brilla para cogerlo.","User","Ficou pronto! Aperte na frigideira brilhante para pegar.","User","できた！光ったフライパンで押して取ろう。","User","다 익었어요! 빛나는 팬에서 눌러 집으세요.","User","C'est cuit ! Appuyez sur la poêle qui brille pour le prendre.","User","Essen fertig! An der leuchtenden Pfanne drücken zum Nehmen.","User","Masakan siap! Tekan di wajan yang menyala untuk mengambilnya.","User"
"coach.cooking","","It's cooking — give it a few seconds.","Tutorial: wait for the pan","","Se está cocinando: espera unos segundos.","User","Está cozinhando — espere alguns segundos.","User","調理中 — 数秒待とう。","User","익는 중이에요 — 몇 초만 기다리세요.","User","Ça cuit — patientez quelques secondes.","User","Es kocht — gib ihm ein paar Sekunden.","User","Sedang dimasak — tunggu beberapa detik.","User"
"coach.set_plate_down","","Set the plate down on a free counter — that's where the dish gets built.","Tutorial: park the plate","","Deja el plato en una encimera libre: ahí se monta el plato.","User","Ponha o prato num balcão livre — é ali que o prato é montado.","User","空いた台にお皿を置こう — そこで料理を組み立てる。","User","빈 조리대에 접시를 놓으세요 — 거기서 요리를 완성합니다.","User","Posez l'assiette sur un plan libre — c'est là qu'on monte le plat.","User","Stell den Teller auf eine freie Theke — dort wird das Gericht gebaut.","User","Taruh piring di meja kosong — di situ hidangan disusun.","User"
"coach.serve","","Plate in hand. Take it to the serve window when the ticket is complete.","Tutorial: deliver","","Plato en mano. Llévalo a la ventanilla cuando el pedido esté completo.","User","Prato na mão. Leve à janela de entrega quando o pedido estiver completo.","User","お皿を持った。注文が揃ったら受け渡し口へ。","User","접시를 들었어요. 주문이 완성되면 서빙 창구로.","User","Assiette en main. Apportez-la au passe quand la commande est complète.","User","Teller in der Hand. Bring ihn zur Ausgabe, wenn die Bestellung komplett ist.","User","Piring di tangan. Bawa ke jendela saji saat pesanan lengkap.","User"
"coach.working","","Working! Stay put — or press again to stop.","Tutorial: mid-task","","¡Trabajando! Quédate ahí o pulsa otra vez para parar.","User","Trabalhando! Fique aí — ou aperte de novo para parar.","User","作業中！そのまま — もう一度押すと中断。","User","작업 중! 그대로 계세요 — 다시 누르면 중단.","User","En cours ! Restez là — ou appuyez à nouveau pour arrêter.","User","Läuft! Bleib stehen — oder nochmal drücken zum Abbrechen.","User","Sedang bekerja! Tetap di situ — atau tekan lagi untuk berhenti.","User"
"coach.dirty_plate","","That plate's dirty — take it to the sink and press to wash it.","Tutorial: washing up","","Ese plato está sucio: llévalo al fregadero y pulsa para lavarlo.","User","Esse prato está sujo — leve à pia e aperte para lavar.","User","そのお皿は汚れている — シンクで押して洗おう。","User","접시가 더러워요 — 싱크대로 가서 눌러 씻으세요.","User","Cette assiette est sale — allez à l'évier et appuyez pour la laver.","User","Der Teller ist schmutzig — ab zur Spüle und drücken zum Spülen.","User","Piring itu kotor — bawa ke wastafel dan tekan untuk mencuci.","User"
"coach.out_of_plates","","Out of clean plates! Wash up at the sink to get more.","Tutorial: plate economy","","¡No quedan platos limpios! Lava en el fregadero para tener más.","User","Acabaram os pratos limpos! Lave na pia para ter mais.","User","きれいなお皿がない！シンクで洗って補充しよう。","User","깨끗한 접시가 없어요! 싱크대에서 설거지하세요.","User","Plus d'assiettes propres ! Lavez à l'évier pour en avoir.","User","Keine sauberen Teller! Spül welche in der Spüle.","User","Piring bersih habis! Cuci di wastafel untuk menambah.","User"
"recipe.salad","","Garden Salad","Recipe name on an order ticket","","Ensalada de la Huerta","User","Salada da Horta","User","ガーデンサラダ","User","가든 샐러드","User","Salade du jardin","User","Gartensalat","User","Salad Kebun","User"
"recipe.chopped","","Chopped Salad","Recipe name","","Ensalada Picada","User","Salada Picada","User","チョップドサラダ","User","찹 샐러드","User","Salade composée","User","Bunter Salat","User","Salad Cincang","User"
"recipe.baconroll","","Bacon Roll","Recipe name","","Bocadillo de Bacon","User","Pão com Bacon","User","ベーコンロール","User","베이컨 롤","User","Sandwich au bacon","User","Bacon-Brötchen","User","Roti Isi Bacon","User"
"recipe.blt","Keep the acronym; it is understood as a sandwich name.","BLT","Recipe name (bacon, lettuce, tomato)","","BLT","User","BLT","User","BLT","User","BLT","User","BLT","User","BLT","User","BLT","User"
"recipe.deluxe","","Deluxe Stack","Recipe name","","Torre Deluxe","User","Torre Deluxe","User","デラックススタック","User","디럭스 스택","User","Le Double Deluxe","User","Deluxe-Turm","User","Tumpuk Deluxe","User"
"badge.first_dish","","First Dish","Badge name","","Primer Plato","User","Primeiro Prato","User","初めての一皿","User","첫 요리","User","Premier plat","User","Erstes Gericht","User","Hidangan Pertama","User"
"badge.first_dish.desc","","Your first plate over the pass.","Badge description","","Tu primer plato en la ventanilla.","User","Seu primeiro prato na janela.","User","初めて出した一皿。","User","서빙 창구를 넘긴 첫 접시.","User","Votre première assiette au passe.","User","Dein erster Teller über die Ausgabe.","User","Piring pertamamu lewat jendela saji.","User"
"badge.clean_service","","Clean Service","Badge name: no missed tickets","","Servicio Impecable","User","Serviço Impecável","User","ノーミス営業","User","완벽한 서비스","User","Service impeccable","User","Saubere Schicht","User","Layanan Bersih","User"
"badge.clean_service.desc","","A whole shift without missing a ticket.","Badge description","","Un turno entero sin perder ningún pedido.","User","Um turno inteiro sem perder pedidos.","User","一度も注文を逃さずシフト完走。","User","한 번도 주문을 놓치지 않은 근무.","User","Un service entier sans rater une commande.","User","Eine ganze Schicht ohne verpasste Bestellung.","User","Satu shift penuh tanpa pesanan terlewat.","User"
"badge.three_stars","","Three Stars","Badge name","","Tres Estrellas","User","Três Estrelas","User","三つ星","User","별 셋","User","Trois étoiles","User","Drei Sterne","User","Tiga Bintang","User"
"badge.three_stars.desc","","Finish a shift with all three stars.","Badge description","","Termina un turno con tres estrellas.","User","Termine um turno com três estrelas.","User","三つ星でシフトを終える。","User","별 셋으로 근무를 마치세요.","User","Terminez un service avec trois étoiles.","User","Beende eine Schicht mit drei Sternen.","User","Selesaikan shift dengan tiga bintang.","User"
"badge.full_house","","Full House","Badge name: 3 stars with 4 humans","","Lleno Total","User","Casa Cheia","User","満席","User","풀 하우스","User","Salle comble","User","Volles Haus","User","Rumah Penuh","User"
"badge.full_house.desc","","Three stars with a full crew of four.","Badge description","","Tres estrellas con un equipo completo de cuatro.","User","Três estrelas com equipe completa de quatro.","User","4人フルメンバーで三つ星。","User","4인 풀 크루로 별 셋.","User","Trois étoiles avec une brigade complète de quatre.","User","Drei Sterne mit vollem Team aus vier.","User","Tiga bintang dengan tim lengkap berempat.","User"
"badge.head_chef","","Head Chef","Badge name: reach level 10","","Jefe de Cocina","User","Chefe de Cozinha","User","料理長","User","총주방장","User","Chef de cuisine","User","Küchenchef","User","Kepala Koki","User"
"badge.head_chef.desc","","Reach level 10.","Badge description","","Alcanza el nivel 10.","User","Alcance o nível 10.","User","レベル10に到達。","User","레벨 10 달성.","User","Atteignez le niveau 10.","User","Erreiche Level 10.","User","Capai level 10.","User"
"badge.century","","Century","Badge name: 100 dishes","","Centenario","User","Centenário","User","100皿","User","센추리","User","Centenaire","User","Hundert","User","Seratus","User"
"badge.century.desc","","Serve 100 dishes.","Badge description","","Sirve 100 platos.","User","Sirva 100 pratos.","User","100皿を提供。","User","100개의 요리를 서빙하세요.","User","Servez 100 plats.","User","Serviere 100 Gerichte.","User","Sajikan 100 hidangan.","User"
"badge.thousand","","Thousand Plates","Badge name: 1000 dishes","","Mil Platos","User","Mil Pratos","User","千皿","User","천 개의 접시","User","Mille assiettes","User","Tausend Teller","User","Seribu Piring","User"
"badge.thousand.desc","","Serve 1,000 dishes.","Badge description","","Sirve 1.000 platos.","User","Sirva 1.000 pratos.","User","1,000皿を提供。","User","1,000개의 요리를 서빙하세요.","User","Servez 1 000 plats.","User","Serviere 1.000 Gerichte.","User","Sajikan 1.000 hidangan.","User"
"badge.founding","","Founding Chef","Badge name: played during launch","","Chef Fundador","User","Chef Fundador","User","創業シェフ","User","창립 셰프","User","Chef fondateur","User","Gründungskoch","User","Koki Perintis","User"
"badge.founding.desc","","Worked the line during the launch window.","Badge description","","Estuvo en la cocina durante el lanzamiento.","User","Trabalhou na linha durante o lançamento.","User","ローンチ期間に厨房に立った。","User","출시 기간에 주방을 지켰습니다.","User","A tenu le poste pendant le lancement.","User","War beim Start am Herd.","User","Bertugas saat masa peluncuran.","User"
"item.hat_paper","","Paper Hat","Cosmetic hat","","Gorro de Papel","User","Chapéu de Papel","User","紙の帽子","User","종이 모자","User","Toque en papier","User","Papierhut","User","Topi Kertas","User"
"item.hat_toque","","Classic Toque","Cosmetic hat: the classic chef's hat","","Gorro Clásico","User","Toque Clássico","User","クラシックコック帽","User","클래식 셰프 모자","User","Toque classique","User","Klassische Kochmütze","User","Toque Klasik","User"
"item.hat_bandana_red","","Red Bandana","Cosmetic hat","","Pañuelo Rojo","User","Bandana Vermelha","User","赤いバンダナ","User","빨간 반다나","User","Bandana rouge","User","Rotes Bandana","User","Bandana Merah","User"
"item.hat_bandana_green","","Green Bandana","Cosmetic hat","","Pañuelo Verde","User","Bandana Verde","User","緑のバンダナ","User","초록 반다나","User","Bandana vert","User","Grünes Bandana","User","Bandana Hijau","User"
"item.hat_beret","","Beret","Cosmetic hat","","Boina","User","Boina","User","ベレー帽","User","베레모","User","Béret","User","Baskenmütze","User","Baret","User"
"item.hat_mushroom","","Mushroom Cap","Cosmetic hat shaped like a mushroom","","Sombrero Champiñón","User","Chapéu Cogumelo","User","きのこ帽","User","버섯 모자","User","Chapeau champignon","User","Pilzhut","User","Topi Jamur","User"
"item.hat_paperboat","","Paper Boat","Cosmetic hat: folded paper boat","","Barquito de Papel","User","Barquinho de Papel","User","紙の船","User","종이배","User","Bateau en papier","User","Papierschiffchen","User","Perahu Kertas","User"
"item.hat_panlid","","Pan Lid Cap","Cosmetic hat: a saucepan lid","","Tapa de Cazuela","User","Tampa de Panela","User","鍋ぶた帽","User","냄비 뚜껑 모자","User","Couvercle de casserole","User","Topfdeckel-Mütze","User","Tutup Panci","User"
"item.hat_colander","","Colander Helm","Cosmetic hat: a colander worn as a helmet","","Casco Colador","User","Elmo de Escorredor","User","ざるヘルム","User","체 투구","User","Casque passoire","User","Sieb-Helm","User","Helm Saringan","User"
"item.hat_butter_crown","","Butter Crown","Cosmetic hat","","Corona de Mantequilla","User","Coroa de Manteiga","User","バタークラウン","User","버터 왕관","User","Couronne de beurre","User","Butterkrone","User","Mahkota Mentega","User"
"item.hat_top","","Top Hat","Cosmetic hat","","Chistera","User","Cartola","User","シルクハット","User","실크햇","User","Haut-de-forme","User","Zylinder","User","Topi Tinggi","User"
"item.hat_halo","","Sous-Chef Halo","Cosmetic hat: a glowing halo","","Aureola de Sous-Chef","User","Auréola de Sous-Chef","User","スーシェフの光輪","User","수셰프 후광","User","Auréole de sous-chef","User","Sous-Chef-Heiligenschein","User","Lingkaran Sous-Chef","User"
"emote.sizzle","","Sizzle!","Emote, matches the game's name","","¡Chsss!","User","Chiando!","User","ジュージュー！","User","치이익!","User","Ça grésille !","User","Zisch!","User","Sizzle!","User"
"emote.boom","","Boom!","Emote","","¡Bum!","User","Bum!","User","ドーン！","User","쾅!","User","Boum !","User","Bumm!","User","Boom!","User"
"emote.cheer","","Cheer","Emote: celebrate","","Ánimo","User","Comemorar","User","歓声","User","환호","User","Bravo","User","Jubel","User","Sorak","User"
"emote.facepalm","","Facepalm","Emote: exasperation","","Facepalm","User","Facepalm","User","がっくり","User","이마 짚기","User","Facepalm","User","Facepalm","User","Tepuk Jidat","User"
"emote.chefs_kiss","","Chef's Kiss","Emote: perfection","","Beso de Chef","User","Beijo de Chef","User","シェフのキス","User","셰프의 키스","User","Baiser du chef","User","Chef's Kiss","User","Ciuman Koki","User"
"emote.on_fire","","On Fire!","Emote: on a hot streak","","¡En Racha!","User","Pegando Fogo!","User","絶好調！","User","불붙었어!","User","En feu !","User","In Flammen!","User","Lagi Panas!","User"
"emote.zzz","","Zzz","Emote: bored or idle","","Zzz","User","Zzz","User","Zzz","User","Zzz","User","Zzz","User","Zzz","User","Zzz","User"
"item.plates_blue","","Blue China","Cosmetic: plate set","","Porcelana Azul","User","Porcelana Azul","User","青い磁器","User","블루 차이나","User","Porcelaine bleue","User","Blaues Porzellan","User","Porselen Biru","User"
"item.plates_gilded","","Gilded Plates","Cosmetic: plate set","","Platos Dorados","User","Pratos Dourados","User","金彩の皿","User","금테 접시","User","Assiettes dorées","User","Vergoldete Teller","User","Piring Berlapis Emas","User"
"item.plates_supporter","","Supporter Plates","Cosmetic: plate set from the pass","","Platos de Mecenas","User","Pratos do Apoiador","User","サポータープレート","User","서포터 접시","User","Assiettes du soutien","User","Unterstützer-Teller","User","Piring Pendukung","User"
"item.pan_copper","","Copper Pans","Cosmetic: pan set","","Sartenes de Cobre","User","Frigideiras de Cobre","User","銅のフライパン","User","구리 팬","User","Poêles en cuivre","User","Kupferpfannen","User","Wajan Tembaga","User"
"item.pan_obsidian","","Obsidian Pans","Cosmetic: pan set","","Sartenes de Obsidiana","User","Frigideiras de Obsidiana","User","黒曜石のフライパン","User","흑요석 팬","User","Poêles obsidienne","User","Obsidianpfannen","User","Wajan Obsidian","User"
"item.bell_deep","","Deep Serve Bell","Cosmetic: the bell rung when serving","","Campana Grave","User","Sino Grave","User","低音のベル","User","낮은음 벨","User","Cloche grave","User","Tiefe Serviceglocke","User","Bel Saji Berat","User"
"item.bell_chime","","Chime Serve Bell","Cosmetic: the bell rung when serving","","Campana Aguda","User","Sino Agudo","User","チャイムベル","User","차임 벨","User","Carillon de service","User","Helle Serviceglocke","User","Bel Saji Nyaring","User"
"pass.supporter","","Supporter Pass","Game pass name","","Pase de Mecenas","User","Passe de Apoiador","User","サポーターパス","User","서포터 패스","User","Pass Soutien","User","Unterstützer-Pass","User","Paket Pendukung","User"
"pass.supporter.desc","","+10% XP and coins forever, four Gilded coats, the Sizzle! emote, Supporter Plates, and a star on your nametag.","Game pass description","","+10 % de XP y monedas para siempre, cuatro trajes dorados, la emote ¡Chsss!, Platos de Mecenas y una estrella en tu nombre.","User","+10% de XP e moedas para sempre, quatro trajes dourados, a emote Chiando!, Pratos do Apoiador e uma estrela no nome.","User","XP・コイン永久+10%、金の衣装4種、ジュージュー！エモート、サポータープレート、名札に星。","User","XP·코인 영구 +10%, 금빛 의상 4종, 치이익! 이모트, 서포터 접시, 이름표에 별.","User","+10 % d'XP et de pièces à vie, quatre tenues dorées, l'emote Ça grésille !, les assiettes du soutien et une étoile sur votre pseudo.","User","Dauerhaft +10 % XP und Münzen, vier vergoldete Outfits, die Zisch!-Emote, Unterstützer-Teller und ein Stern am Namensschild.","User","+10% XP dan koin selamanya, empat jubah emas, emote Sizzle!, Piring Pendukung, dan bintang di namamu.","User"
"pass.trunk","","Chef's Trunk","Game pass name","","Baúl del Chef","User","Baú do Chef","User","シェフのトランク","User","셰프의 트렁크","User","Malle du chef","User","Chefkoch-Truhe","User","Koper Koki","User"
"pass.trunk.desc","","Four Midnight coats, the Boom! emote and Obsidian Pans.","Game pass description","","Cuatro trajes Medianoche, la emote ¡Bum! y Sartenes de Obsidiana.","User","Quatro trajes Meia-Noite, a emote Bum! e Frigideiras de Obsidiana.","User","ミッドナイト衣装4種、ドーン！エモート、黒曜石のフライパン。","User","미드나이트 의상 4종, 쾅! 이모트, 흑요석 팬.","User","Quatre tenues Minuit, l'emote Boum ! et les poêles obsidienne.","User","Vier Mitternachts-Outfits, die Bumm!-Emote und Obsidianpfannen.","User","Empat jubah Tengah Malam, emote Boom!, dan Wajan Obsidian.","User"
"pal.bramble_panda","","Panda Bramble","Coat colour for the bear chef Bramble","","Bramble Panda","User","Bramble Panda","User","パンダのブランブル","User","판다 브램블","User","Bramble panda","User","Panda-Bramble","User","Bramble Panda","User"
"pal.bramble_polar","","Polar Bramble","Coat colour","","Bramble Polar","User","Bramble Polar","User","ポーラーブランブル","User","폴라 브램블","User","Bramble polaire","User","Polar-Bramble","User","Bramble Kutub","User"
"pal.bramble_gilded","","Gilded Bramble","Coat colour (pass item)","","Bramble Dorado","User","Bramble Dourado","User","ゴールドのブランブル","User","골드 브램블","User","Bramble doré","User","Vergoldeter Bramble","User","Bramble Emas","User"
"pal.bramble_midnight","","Midnight Bramble","Coat colour (pass item)","","Bramble Medianoche","User","Bramble Meia-Noite","User","ミッドナイトのブランブル","User","미드나이트 브램블","User","Bramble minuit","User","Mitternachts-Bramble","User","Bramble Tengah Malam","User"
